"sdr1@segment.com","Mon-Tue 11:30 am - 1:00 pm"
"sdr2@segment.com","Mon-Thu 2:00 pm - 3:00 pm , Fri 11:30 am - 4:00 pm"
"sdr3@segment.com","Mon-Wed 9:00 am - 9:30 am , Tue 10:00 am - 3:00 pm , Fri 10:00 am - 2:00 pm"
"sdr4@segment.com","Mon 10:00 am - 10:30 am , Tue 1:00 pm - 3:00 pm , Fri 9:00 am - 10:00 am"
"sdr5@segment.com","Fri 11:00 am - 11:30 am"
"sdr6@segment.com","Mon-Fri 9:00 am - 4:30 pm"
"sdr7@segment.com","Mon-Wed 10:30 am - 11:30 am , Tue 11:30 am - 3:00 pm , Fri 10:00 am - 2:00 pm"
"sdr8@segment.com","Mon 10:30 am - 11:30 am , Tue 10:00 am - 3:00 pm , Fri 11:00 am - 2:00 pm"
"sdr9@segment.com","Mon-Wed 9:00 am - 9:30 am , Tue 10:00 am - 3:00 pm , Fri 10:00 am - 2:00 pm"
"sdr10@segment.com","Tue-Wed 10:00 am - 11:30 am , Fri 10:00 am - 2:00 pm"
"sdr11@segment.com","Wed 11:00 am - 3:30 pm , Fri 11:00 am - 2:00 pm"
"sdr12@segment.com","Mon 9:00 am - 3:30 pm , Fri 11:00 am - 2:00 pm"
"sdr13@segment.com","Fri 11:00 am - 3:30 pm"
"sdr14@segment.com","Wed 12:00 am - 12:30 pm"
"sdr16@segment.com","Fri 10:00 am - 12:00 pm"
